Polling Firm,Fieldwork Period,United Right,Civic Coalition,The Left,Polish Coalition,Confederation,Poland 2050,Others / Don't know
Pollster / SE.pl,2019-11-27,44.6,23.3,14.9,7.8,8.4,NA,1.0
Social Changes / wPolityce.pl,2019-11-26,40.0,24.0,18.0,10.0,6.0,NA,2.0
"IBRiS / ""Rz""",2019-11-23,39.6,24.8,12.8,6.0,6.2,NA,10.6
Kantar Public,2019-11-20,38.0,27.0,10.0,7.0,6.0,NA,12.0
Social Changes / wPolityce.pl,2019-11-19,40.0,25.0,17.0,8.0,9.0,NA,1.0
CBOS,2019-11-17,45.7,20.0,11.6,8.8,6.2,NA,7.7
Social Changes / wPolityce.pl,2019-11-12,42.0,25.0,15.0,9.0,8.0,NA,1.0
"Kantar Public / ""WO""",2019-11-12,38.0,27.0,14.0,7.0,9.0,NA,5.0
Pollster / SE.pl,2019-11-06,46.4,25.0,12.7,8.8,5.7,NA,1.4
Social Changes / wPolityce.pl,2019-11-05,43.0,24.0,17.0,8.0,7.0,NA,1.0
CBM Indicator / TVP,2019-11-04,44.0,26.1,14.4,8.8,6.2,NA,0.5
Social Changes / wPolityce.pl,2019-10-30,41.1,24.9,15.9,9.8,8.3,NA,0.0
IPSOS / OKO.press,2019-10-23,41.0,23.0,15.0,9.0,7.0,NA,5.0
"IBRiS / ""Rz""",2019-10-19,41.3,21.7,12.3,7.1,6.5,NA,11.1
Kantar Public,2019-10-16,39.0,27.0,14.0,7.0,7.0,NA,6.0
